level,n_users,n_payers,total_payments,total_revenue,conversion_rate,ppu,rpu,arppu,pct_of_cohort,conv_vs_baseline,ppu_vs_baseline,rpu_vs_baseline,arppu_vs_baseline,chi2,chi2_pvalue,feature
5,2195,77,670,112532.940000,0.035080,0.305239,51.267854,1461.466753,0.077061,0.010575,0.169373,31.116414,639.126323,26.684144,0.000023,age_group
4,6855,202,1054,148971.735000,0.029468,0.153756,21.731836,737.483837,0.240661,0.004963,0.017891,1.580396,-84.856593,26.684144,0.000023,age_group
1,3054,76,232,26980.720000,0.024885,0.075966,8.834551,355.009474,0.107218,0.000380,-0.059900,-11.316889,-467.330956,26.684144,0.000023,age_group
3,8365,183,1328,197440.045000,0.021877,0.158757,23.603114,1078.907350,0.293674,-0.002628,0.022891,3.451673,256.566920,26.684144,0.000023,age_group
2,8015,160,586,88068.180000,0.019963,0.073113,10.987920,550.426125,0.281386,-0.004542,-0.062753,-9.163520,-271.914305,26.684144,0.000023,age_group
Other,21,2,4,404.910000,0.095238,0.190476,19.281429,202.455000,0.000737,0.070733,0.054610,-0.870012,-619.885430,97.018699,0.000000,system
iOS,7949,307,2246,330192.500000,0.038621,0.282551,41.538873,1075.545603,0.279069,0.014116,0.146686,21.387433,253.205173,97.018699,0.000000,system
Android,20514,389,1620,243396.210000,0.018963,0.078970,11.864883,625.697198,0.720194,-0.005542,-0.056895,-8.286557,-196.643232,97.018699,0.000000,system
Corellia,202,16,165,33325.825000,0.079208,0.816832,164.979332,2082.864063,0.007092,0.054703,0.680966,144.827892,1260.523633,630.583069,0.000000,id_traffic_source
Coruscant,7711,466,2929,439451.485000,0.060433,0.379847,56.990207,943.028938,0.270713,0.035928,0.243981,36.838767,120.688508,630.583069,0.000000,id_traffic_source
Mandalore,2768,63,243,28077.650000,0.022760,0.087789,10.143660,445.676984,0.097177,-0.001745,-0.048077,-10.007780,-376.663446,630.583069,0.000000,id_traffic_source
Alderaan,17799,153,533,73138.660000,0.008596,0.029946,4.109144,478.030458,0.624877,-0.015909,-0.105920,-16.042296,-344.309972,630.583069,0.000000,id_traffic_source
325,3,0,0,0.000000,0.000000,0.000000,0.000000,,0.000105,-0.024505,-0.135866,-20.151440,,630.583069,0.000000,id_traffic_source
Jakku,1,0,0,0.000000,0.000000,0.000000,0.000000,,0.000035,-0.024505,-0.135866,-20.151440,,630.583069,0.000000,id_traffic_source
2,2362,124,531,77103.695000,0.052498,0.224809,32.643393,621.803992,0.082924,0.027993,0.088944,12.491953,-200.536438,102.285214,0.000000,country_group
3,751,34,309,40157.100000,0.045273,0.411451,53.471505,1181.091176,0.026366,0.020768,0.275586,33.320065,358.750747,102.285214,0.000000,country_group
4,916,22,52,5248.100000,0.024017,0.056769,5.729367,238.550000,0.032158,-0.000488,-0.079097,-14.422073,-583.790430,102.285214,0.000000,country_group
1,24455,518,2978,451484.725000,0.021182,0.121775,18.461857,871.592133,0.858552,-0.003323,-0.014091,-1.689583,49.251703,102.285214,0.000000,country_group
