feature,importance,abs_importance
cat__system_Windows,0.5971344539238538,0.5971344539238538
cat__platform_mobile,0.5494097937445881,0.5494097937445881
cat__id_traffic_source_Coruscant,0.49724000251823447,0.49724000251823447
cat__id_traffic_source_Alderaan,-0.4704149771139601,0.4704149771139601
cat__age_group_4,0.38364243559243466,0.38364243559243466
cat__system_Mac,0.29165128091672005,0.29165128091672005
cat__age_group_5,0.27917007064181654,0.27917007064181654
cat__system_Other,0.2783721794905964,0.2783721794905964
cat__age_group_3,0.2733069283896328,0.2733069283896328
cat__system_iOS,0.20319353254682168,0.20319353254682168
cat__age_group_2,0.1929763014517925,0.1929763014517925
cat__platform_other,-0.14539805442420745,0.14539805442420745
cat__id_traffic_source_Corellia,0.11300409815253946,0.11300409815253946
cat__country_group_4,-0.09476161138256332,0.09476161138256332
cat__id_traffic_source_Mandalore,0.08145549738476804,0.08145549738476804
cat__id_traffic_source_Jakku,-0.06229828486740132,0.06229828486740132
cat__country_group_2,0.04508874761539064,0.04508874761539064
cat__gender_male,-0.033837402487699036,0.033837402487699036
cat__country_group_3,-0.030514752725813114,0.030514752725813114
