feature,importance,abs_importance
cat__id_traffic_source_Alderaan,0.3189162103329493,0.3189162103329493
cat__id_traffic_source_Coruscant,0.29437988688747585,0.29437988688747585
cat__system_iOS,0.04443480929744994,0.04443480929744994
cat__country_group_2,0.043927107744134684,0.043927107744134684
cat__gender_male,0.03912771484628802,0.03912771484628802
cat__age_group_4,0.03807088182436521,0.03807088182436521
cat__id_traffic_source_Mandalore,0.03722697354618137,0.03722697354618137
cat__age_group_2,0.028823507717274807,0.028823507717274807
cat__platform_mobile,0.027878971225847326,0.027878971225847326
cat__age_group_3,0.025879186467923296,0.025879186467923296
cat__age_group_5,0.021072796315388043,0.021072796315388043
cat__country_group_4,0.020615625625498853,0.020615625625498853
cat__country_group_3,0.018339295342346452,0.018339295342346452
cat__system_Windows,0.015642867776209,0.015642867776209
cat__id_traffic_source_Corellia,0.009495953928114153,0.009495953928114153
cat__system_Other,0.008558293930578555,0.008558293930578555
cat__system_Mac,0.007609917191975177,0.007609917191975177
cat__platform_other,0.0,0.0
cat__id_traffic_source_Jakku,0.0,0.0
