feature,importance,abs_importance
cat__id_traffic_source_Alderaan,0.42499986,0.42499986
cat__id_traffic_source_Coruscant,0.08541119,0.08541119
cat__id_traffic_source_Mandalore,0.048467934,0.048467934
cat__age_group_4,0.0429497,0.0429497
cat__age_group_5,0.033798564,0.033798564
cat__system_iOS,0.032693658,0.032693658
cat__system_Windows,0.031768687,0.031768687
cat__age_group_2,0.03155521,0.03155521
cat__platform_mobile,0.030381687,0.030381687
cat__age_group_3,0.029869612,0.029869612
cat__system_Other,0.029438341,0.029438341
cat__country_group_2,0.028098134,0.028098134
cat__id_traffic_source_Corellia,0.028057704,0.028057704
cat__country_group_4,0.027340733,0.027340733
cat__country_group_3,0.027128704,0.027128704
cat__gender_male,0.026963383,0.026963383
cat__system_Mac,0.025108159,0.025108159
cat__platform_other,0.015968712,0.015968712
cat__id_traffic_source_Jakku,0.0,0.0
