feature,importance,abs_importance
cat__id_traffic_source_Alderaan,-0.49460239359055796,0.49460239359055796
cat__id_traffic_source_Coruscant,0.4749496932344996,0.4749496932344996
cat__system_Windows,0.39904738115005184,0.39904738115005184
cat__platform_other,-0.36237510594249883,0.36237510594249883
cat__system_Android,-0.3056654984958501,0.3056654984958501
cat__platform_mobile,0.28128783375873545,0.28128783375873545
cat__platform_desktop,-0.2658963674151609,0.2658963674151609
cat__id_traffic_source_325,-0.2499010736046835,0.2499010736046835
cat__system_Other,0.21053201012987663,0.21053201012987663
cat__system_Mac,0.19757562021588582,0.19757562021588582
cat__age_group_1,-0.1849284040446866,0.1849284040446866
cat__id_traffic_source_Jakku,-0.12752077475379858,0.12752077475379858
cat__age_group_4,0.12496958943140932,0.12496958943140932
cat__id_traffic_source_Corellia,0.10903983479528656,0.10903983479528656
cat__age_group_5,0.10273928514691434,0.10273928514691434
cat__country_group_4,-0.0875623576773588,0.0875623576773588
cat__age_group_2,-0.06851826405659779,0.06851826405659779
cat__id_traffic_source_Mandalore,0.06662073906206253,0.06662073906206253
cat__system_iOS,-0.06476735033526562,0.06476735033526562
cat__country_group_2,0.055817938608854395,0.055817938608854395
cat__country_group_3,-0.023142168131210485,0.023142168131210485
cat__gender_female,0.01691727850856753,0.01691727850856753
cat__gender_male,-0.01691727850856716,0.01691727850856716
cat__country_group_1,0.014078297752841768,0.014078297752841768
cat__age_group_3,0.005661502337817928,0.005661502337817928
