feature,importance,abs_importance
cat__id_traffic_source_Alderaan,0.3661028933721431,0.3661028933721431
cat__id_traffic_source_Coruscant,0.3084876977669086,0.3084876977669086
cat__system_iOS,0.06253967224710037,0.06253967224710037
cat__gender_male,0.0425692581187933,0.0425692581187933
cat__country_group_2,0.04095618823740934,0.04095618823740934
cat__id_traffic_source_Mandalore,0.03435882111047081,0.03435882111047081
cat__age_group_4,0.033391326094215024,0.033391326094215024
cat__age_group_2,0.026425815894949137,0.026425815894949137
cat__age_group_3,0.024887428699566193,0.024887428699566193
cat__age_group_5,0.020101505076942486,0.020101505076942486
cat__country_group_4,0.017387689086893386,0.017387689086893386
cat__country_group_3,0.013226803801498667,0.013226803801498667
cat__id_traffic_source_Corellia,0.009564900493109818,0.009564900493109818
cat__system_Other,0.0,0.0
cat__id_traffic_source_Jakku,0.0,0.0
