feature,importance,abs_importance
cat__id_traffic_source_Alderaan,0.3071017868322513,0.3071017868322513
cat__id_traffic_source_Coruscant,0.24799467320388174,0.24799467320388174
cat__system_Android,0.05273830000120454,0.05273830000120454
cat__age_group_1,0.04102033784559397,0.04102033784559397
cat__id_traffic_source_Mandalore,0.03253360518129418,0.03253360518129418
cat__age_group_4,0.03131749896410817,0.03131749896410817
cat__country_group_2,0.02989250921157458,0.02989250921157458
cat__age_group_2,0.02861385739585291,0.02861385739585291
cat__country_group_1,0.026536076117631313,0.026536076117631313
cat__gender_male,0.024869654015578033,0.024869654015578033
cat__age_group_3,0.0245184884002992,0.0245184884002992
cat__gender_female,0.023991810878987916,0.023991810878987916
cat__system_iOS,0.020116185346753232,0.020116185346753232
cat__age_group_5,0.018833941199319536,0.018833941199319536
cat__country_group_4,0.018688378356764023,0.018688378356764023
cat__country_group_3,0.013956360009628209,0.013956360009628209
cat__platform_desktop,0.013667041019029415,0.013667041019029415
cat__platform_mobile,0.01278245099937441,0.01278245099937441
cat__system_Windows,0.009925989464012462,0.009925989464012462
cat__id_traffic_source_Corellia,0.008839235950974278,0.008839235950974278
cat__system_Mac,0.006215910967484946,0.006215910967484946
cat__system_Other,0.0058459086384015525,0.0058459086384015525
cat__platform_other,0.0,0.0
cat__id_traffic_source_325,0.0,0.0
cat__id_traffic_source_Jakku,0.0,0.0
