feature,importance,abs_importance
cat__id_traffic_source_Alderaan,0.34180585,0.34180585
cat__id_traffic_source_Coruscant,0.09683898,0.09683898
cat__id_traffic_source_Mandalore,0.04251173,0.04251173
cat__age_group_1,0.039457407,0.039457407
cat__age_group_4,0.034669567,0.034669567
cat__system_Android,0.03256307,0.03256307
cat__age_group_2,0.02847578,0.02847578
cat__country_group_4,0.027805598,0.027805598
cat__system_iOS,0.027782926,0.027782926
cat__gender_male,0.027244855,0.027244855
cat__system_Windows,0.026923943,0.026923943
cat__system_Other,0.026075773,0.026075773
cat__age_group_3,0.02584357,0.02584357
cat__id_traffic_source_Corellia,0.025182577,0.025182577
cat__age_group_5,0.025089633,0.025089633
cat__platform_desktop,0.02424563,0.02424563
cat__system_Mac,0.024243964,0.024243964
cat__gender_female,0.023961486,0.023961486
cat__platform_mobile,0.023409316,0.023409316
cat__country_group_2,0.02324048,0.02324048
cat__country_group_3,0.023041096,0.023041096
cat__country_group_1,0.02096857,0.02096857
cat__platform_other,0.008618163,0.008618163
cat__id_traffic_source_325,0.0,0.0
cat__id_traffic_source_Jakku,0.0,0.0
