cohort,dimension,p_value,chi2,flag,control_n,test_n
mobile,gender,0.7455624846480491,0.10529771014070297,OK,6070,5961
mobile,age_group,0.022095236410996495,11.434081931590057,WARN p<0.05,6070,5961
mobile,country_group,0.000423806470678763,18.078233491246955,WARN p<0.05,6070,5961
mobile,id_traffic_source,0.30402134692227717,4.840842007958221,OK,6070,5961
mobile,system,0.004003354091889354,13.314614282279969,WARN p<0.05,6070,5961
all,gender,0.6515723170349241,0.20392357352031296,OK,8913,8577
all,age_group,0.0004222784505709403,20.368724392456876,WARN p<0.05,8913,8577
all,country_group,0.030160029124040498,8.935560397380417,WARN p<0.05,8913,8577
all,id_traffic_source,0.3655768372998131,5.430950414452745,OK,8913,8577
all,system,0.2834246177082833,5.037960739839301,OK,8913,8577
