scenario,metric,mde_pct,baseline_mean,baseline_std,mde_absolute,required_n,actual_n_control,actual_n_test,powered,obs_power_at_mde,obs_effect_pct
mobile,conversion_rate,0.010000,0.028830,,0.010000,2010,6070,5961,True,0.916667,-0.004990
mobile,payments_per_payer,0.050000,3.885714,6.889820,0.194286,15551,175,171,False,0.083163,0.006837
mobile,ARPP,0.050000,514.910857,1168.988093,25.745543,25493,175,171,False,0.074763,0.251309
mobile,payments_per_payer,0.100000,3.885714,6.889820,0.388571,3888,175,171,False,0.130642,0.006837
mobile,ARPP,0.100000,514.910857,1168.988093,51.491086,6374,175,171,False,0.107939,0.251309
mobile,payments_per_payer,0.150000,3.885714,6.889820,0.582857,1728,175,171,False,0.194174,0.006837
mobile,ARPP,0.150000,514.910857,1168.988093,77.236629,2833,175,171,False,0.150588,0.251309
mobile,payments_per_payer,0.200000,3.885714,6.889820,0.777143,972,175,171,False,0.273629,0.006837
mobile,ARPP,0.200000,514.910857,1168.988093,102.982171,1594,175,171,False,0.203193,0.251309
mobile,payments_per_payer,0.250000,3.885714,6.889820,0.971429,623,175,171,False,0.366503,0.006837
mobile,ARPP,0.250000,514.910857,1168.988093,128.727714,1020,175,171,False,0.265452,0.251309
mobile,payments_per_payer,0.300000,3.885714,6.889820,1.165714,432,175,171,False,0.467966,0.006837
mobile,ARPP,0.300000,514.910857,1168.988093,154.473257,709,175,171,False,0.336155,0.251309
all_devices,conversion_rate,0.010000,0.030405,,0.010000,2102,8913,8577,True,0.971771,-0.003006
all_devices,payments_per_payer,0.050000,3.549815,6.126771,0.177491,14734,271,260,False,0.094331,0.075896
all_devices,ARPP,0.050000,449.582694,1015.878816,22.479135,25254,271,260,False,0.081877,0.434572
all_devices,payments_per_payer,0.100000,3.549815,6.126771,0.354982,3684,271,260,False,0.162498,0.075896
all_devices,ARPP,0.100000,449.582694,1015.878816,44.958269,6314,271,260,False,0.127088,0.434572
all_devices,payments_per_payer,0.150000,3.549815,6.126771,0.532472,1638,271,260,False,0.256576,0.075896
all_devices,ARPP,0.150000,449.582694,1015.878816,67.437404,2806,271,260,False,0.187279,0.434572
all_devices,payments_per_payer,0.200000,3.549815,6.126771,0.709963,921,271,260,False,0.373108,0.075896
all_devices,ARPP,0.200000,449.582694,1015.878816,89.916539,1579,271,260,False,0.262495,0.434572
all_devices,payments_per_payer,0.250000,3.549815,6.126771,0.887454,590,271,260,False,0.502662,0.075896
all_devices,ARPP,0.250000,449.582694,1015.878816,112.395673,1011,271,260,False,0.350720,0.434572
all_devices,payments_per_payer,0.300000,3.549815,6.126771,1.064945,410,271,260,False,0.631934,0.075896
all_devices,ARPP,0.300000,449.582694,1015.878816,134.874808,702,271,260,False,0.447856,0.434572
