brand,product_name,format,serving_size_g,serving_count,volume_g,price_usd,discount_pct,serving_price,key_ingredient,channel,url,date_collected,purchase_type
Laird Superfood,"Laird Superfood Instant Latte Sweet & Creamy, Non-Dairy, Superfood Creamer, Gluten Free, Non-GMO, Vegan, 16 oz. Bag, Pack of 1",creamer,,38,453.6,29.0,0.0,0.7632,,amazon,https://www.amazon.com/dp/B01HDYROWC,2026-05-25,single
Laird Superfood,"Laird Superfood Instant Latte Sweet & Creamy, Non-Dairy, Superfood Creamer, Gluten Free, Non-GMO, Vegan, 16 oz. Bag, Pack of 1",creamer,,38,453.6,27.55,5.0,0.725,,amazon,https://www.amazon.com/dp/B01HDYROWC,2026-05-25,subscription
Laird Superfood,"Laird Superfood Chai Instant Latte with Adaptogens - Instant Chai Tea Powder with Superfood Coconut Creamer - Gluten Free, Non-GMO, Vegan, 8 oz. Bag, Pack of 1",creamer,,5,226.8,19.0,0.0,3.8,adaptogen,amazon,https://www.amazon.com/dp/B08JHD6QJ9,2026-05-25,single
Laird Superfood,"Laird Superfood Chai Instant Latte with Adaptogens - Instant Chai Tea Powder with Superfood Coconut Creamer - Gluten Free, Non-GMO, Vegan, 8 oz. Bag, Pack of 1",creamer,,5,226.8,18.05,5.0,3.61,adaptogen,amazon,https://www.amazon.com/dp/B08JHD6QJ9,2026-05-25,subscription
Laird Superfood,"Laird Superfood Instant Latte 100% Arabica Coffee Sweet & Creamy, Non-Dairy, Superfood Creamer, Gluten Free, Non-GMO, Vegan, 8 oz. Bag, Pack of 1",creamer,,7,226.8,19.0,0.0,2.7143,,amazon,https://www.amazon.com/dp/B01N2N0ZWV,2026-05-25,single
Laird Superfood,"Laird Superfood Instant Latte 100% Arabica Coffee Sweet & Creamy, Non-Dairy, Superfood Creamer, Gluten Free, Non-GMO, Vegan, 8 oz. Bag, Pack of 1",creamer,,7,226.8,18.05,5.0,2.5786,,amazon,https://www.amazon.com/dp/B01N2N0ZWV,2026-05-25,subscription
Laird Superfood,"Laird Superfood Non-Dairy Coconut Powder Creamer - Sweet & Creamy + Adaptogens - Superfood Creamer with Functional Mushrooms - Non-GMO, Vegan, 16 oz. Bag, Pack of 1",creamer,,30,453.6,27.0,0.0,0.9,mushroom blend,amazon,https://www.amazon.com/dp/B08QNGKX74,2026-05-25,single
Laird Superfood,"Laird Superfood Non-Dairy Coconut Powder Creamer - Sweet & Creamy + Adaptogens - Superfood Creamer with Functional Mushrooms - Non-GMO, Vegan, 16 oz. Bag, Pack of 1",creamer,,30,453.6,25.65,5.0,0.855,mushroom blend,amazon,https://www.amazon.com/dp/B08QNGKX74,2026-05-25,subscription
Laird Superfood,"Laird Superfood Non-Dairy Reduced Sugar Superfood Coconut Powder Coffee Creamer, Keto, No Sugar Added, Gluten Free, Non-GMO, Vegan, 16 oz. Bag, Pack of 1",creamer,,10,453.6,24.0,0.0,2.4,,amazon,https://www.amazon.com/dp/B06ZYDJ41T,2026-05-25,single
Laird Superfood,"Laird Superfood Non-Dairy Reduced Sugar Superfood Coconut Powder Coffee Creamer, Keto, No Sugar Added, Gluten Free, Non-GMO, Vegan, 16 oz. Bag, Pack of 1",creamer,,10,453.6,22.8,5.0,2.28,,amazon,https://www.amazon.com/dp/B06ZYDJ41T,2026-05-25,subscription
Laird Superfood,"Laird Superfood Non-Dairy Original Superfood Vanilla Coconut Powder Coffee Creamer, Gluten Free, Non-GMO, Vegan, 8 oz. Bag, Pack of 1",creamer,,35,226.8,17.0,0.0,0.4857,,amazon,https://www.amazon.com/dp/B07X32DZZS,2026-05-25,single
Laird Superfood,"Laird Superfood Non-Dairy Original Superfood Vanilla Coconut Powder Coffee Creamer, Gluten Free, Non-GMO, Vegan, 8 oz. Bag, Pack of 1",creamer,,35,226.8,16.15,5.0,0.4614,,amazon,https://www.amazon.com/dp/B07X32DZZS,2026-05-25,subscription
Laird Superfood,"Laird Superfood Matcha Instant Latte with Adaptogens - Matcha Latte Green Tea Powder Packed with Antioxidants and Superfood Coconut Creamer - Gluten Free, Non-GMO, Vegan, 8 oz. Bag, Pack of 1",creamer,,8,226.8,19.0,0.0,2.375,adaptogen,amazon,https://www.amazon.com/dp/B07SH1H22K,2026-05-25,single
Laird Superfood,"Laird Superfood Matcha Instant Latte with Adaptogens - Matcha Latte Green Tea Powder Packed with Antioxidants and Superfood Coconut Creamer - Gluten Free, Non-GMO, Vegan, 8 oz. Bag, Pack of 1",creamer,,8,226.8,18.05,5.0,2.2563,adaptogen,amazon,https://www.amazon.com/dp/B07SH1H22K,2026-05-25,subscription
Laird Superfood,"Laird Superfood Functional Mushrooms Hot Chocolate, Organic Cacao Powder Blended with Nourishing Mushrooms, 8 oz. Bag, Pack of 1",instant,,50,226.8,20.0,0.0,0.4,mushroom blend,amazon,https://www.amazon.com/dp/B081FDD412,2026-05-25,single
Laird Superfood,"Laird Superfood Functional Mushrooms Hot Chocolate, Organic Cacao Powder Blended with Nourishing Mushrooms, 8 oz. Bag, Pack of 1",instant,,50,226.8,19.0,5.0,0.38,mushroom blend,amazon,https://www.amazon.com/dp/B081FDD412,2026-05-25,subscription
Laird Superfood,"Laird Superfood Sweet & Creamy Powdered Superfood Creamer 5 Count, 0.7 OZ",creamer,,5,99.2,9.99,0.0,1.998,,amazon,https://www.amazon.com/dp/B0CH91KXKZ,2026-05-25,single
Laird Superfood,"Laird Superfood Sweet & Creamy Powdered Superfood Creamer 5 Count, 0.7 OZ",creamer,,5,99.2,9.49,5.0,1.898,,amazon,https://www.amazon.com/dp/B0CH91KXKZ,2026-05-25,subscription
Laird Superfood,"Laird Superfood Vanilla Superfood Creamer, 8 OZ",creamer,,20,226.8,7.07,26,0.3535,,amazon,https://www.amazon.com/dp/B0DKTSH7F2,2026-05-25,single
Laird Superfood,"Laird Superfood Peruvian Dark Roast Coffee with Functional Mushrooms, Certified Organic Peruvian Ground Coffee Beans, Gluten-Free, Dairy-Free, Non-GMO, Paleo, Keto Friendly, 12 oz. Bag",ground,,30,340.2,20.0,0.0,0.6667,mushroom blend,amazon,https://www.amazon.com/dp/B088PB9B1L,2026-05-25,single
Laird Superfood,"Laird Superfood Peruvian Dark Roast Coffee with Functional Mushrooms, Certified Organic Peruvian Ground Coffee Beans, Gluten-Free, Dairy-Free, Non-GMO, Paleo, Keto Friendly, 12 oz. Bag",ground,,30,340.2,19.0,5.0,0.6333,mushroom blend,amazon,https://www.amazon.com/dp/B088PB9B1L,2026-05-25,subscription
Laird Superfood,"Laird Superfood Sweet & Creamy Superfood Creamer, 8 OZ",creamer,,113,226.8,7.07,26,0.0626,,amazon,https://www.amazon.com/dp/B0CH91MQ1Z,2026-05-25,single
Laird Superfood,"Laird Superfood Mocha Superfood Creamer, 8 OZ",creamer,,113,226.8,7.07,26,0.0626,,amazon,https://www.amazon.com/dp/B0CH913LGS,2026-05-25,single
Laird Superfood,"Laird Superfood Protein Coffee Powder - Vanilla Whey Protein, Instant Coffee Mix with Lion’s Mane - 10G Protein, 140mg Caffeine, 0g Sugar",instant,,30,150.3,19.99,0.0,0.6663,,amazon,https://www.amazon.com/dp/B0G311SP7Q,2026-05-25,single
Laird Superfood,"Laird Superfood Protein Coffee Powder - Vanilla Whey Protein, Instant Coffee Mix with Lion’s Mane - 10G Protein, 140mg Caffeine, 0g Sugar",instant,,30,150.3,18.99,5.0,0.633,,amazon,https://www.amazon.com/dp/B0G311SP7Q,2026-05-25,subscription
Laird Superfood,"Lairds Superfoods Coffee Creamer, Net Weight, 32 Ounce - Plant-Based, Dairy-Free, Vegan, Coconut MCTs, and No Refrigeration Needed",creamer,,20,907.2,44.97,0.0,2.2485,mct,amazon,https://www.amazon.com/dp/B0GFYD2F3S,2026-05-25,single
Laird Superfood,"Laird Superfood Instant Latte Matcha, Non-Dairy, Superfood Creamer, Gluten Free, Non-GMO, Vegan, 15pk Sachets",packet,,20,510.3,33.0,0.0,1.65,,amazon,https://www.amazon.com/dp/B0DG49166Y,2026-05-25,single
Laird Superfood,"Laird Superfood Instant Latte Matcha, Non-Dairy, Superfood Creamer, Gluten Free, Non-GMO, Vegan, 15pk Sachets",packet,,20,510.3,31.35,5.0,1.5675,,amazon,https://www.amazon.com/dp/B0DG49166Y,2026-05-25,subscription
Laird Superfood,"Laird Superfood Seasonal Instant Latte Bundle, Pumpkin Spice and Peppermint Mocha Instant Latte, 8oz",bundle,,1,,35.0,8,35.0,,amazon,https://www.amazon.com/dp/B0CNS1KWCG,2026-05-25,single
Laird Superfood,"Laird Superfood Perfect Cup Bundle, Medium Roast Ground Coffee with Funtional Mushrooms and 16oz Sweet & Creamy Non-Dairy Creamer with Adaptogens",bundle,,60,793.8,35.0,22,0.5833,mushroom blend,amazon,https://www.amazon.com/dp/B0CM7SGZCX,2026-05-25,single
Laird Superfood,"Laird Superfood Instant Latte 100% Arabica Coffee Sweet & Creamy, Non-Dairy, Superfood Creamer, Gluten Free, Non-GMO, Vegan, 8 oz. Bag, Pack of 2",creamer,,20,453.6,19.0,0.0,0.95,,amazon,https://www.amazon.com/dp/B0CQ9LDT74,2026-05-25,single
Laird Superfood,"Laird Superfood Maca Instant Latte, Non-Dairy, Sweet & Creamy, Superfood Creamer, Gluten Free, Non-GMO, Vegan, 8 oz. Bag, Pack of 1",creamer,,30,226.8,19.0,0.0,0.6333,,amazon,https://www.amazon.com/dp/B0F1DTPCFN,2026-05-25,single
Laird Superfood,"Laird Superfood Maca Instant Latte, Non-Dairy, Sweet & Creamy, Superfood Creamer, Gluten Free, Non-GMO, Vegan, 8 oz. Bag, Pack of 1",creamer,,30,226.8,18.05,5.0,0.6017,,amazon,https://www.amazon.com/dp/B0F1DTPCFN,2026-05-25,subscription
Laird Superfood,"Laird Superfood Instant Latte, Maple, Non-Dairy, Superfood Creamer and Coffee, Gluten Free, Non-GMO, Vegan, 8 oz. Bag, Pack of 1",creamer,,30,226.8,19.0,0.0,0.6333,,amazon,https://www.amazon.com/dp/B0FPMRNNTN,2026-05-25,single
Laird Superfood,"Laird Superfood Instant Latte, Maple, Non-Dairy, Superfood Creamer and Coffee, Gluten Free, Non-GMO, Vegan, 8 oz. Bag, Pack of 1",creamer,,30,226.8,18.05,5.0,0.6017,,amazon,https://www.amazon.com/dp/B0FPMRNNTN,2026-05-25,subscription
Laird Superfood,"Laird Superfood Matcha Instant Latte with Adaptogens - Matcha Latte Green Tea Powder Packed with Antioxidants and Superfood Coconut Creamer - Gluten Free, Non-GMO, Vegan, 16 oz. Bag, Pack of 1",creamer,,30,453.6,9.49,0.0,0.3163,adaptogen,amazon,https://www.amazon.com/dp/B07SGY68G8,2026-05-25,single
Laird Superfood,"Laird Superfood Mocha Instant Latte with Adaptogens – Mocha Latte packed with Antioxidants and Superfood Coconut Creamer – Boost of Functional Fuel – Gluten Free, Non-GMO, Vegan, 16 oz. Bag, Pack of 1",creamer,,24,453.6,19.0,0.0,0.7917,adaptogen,amazon,https://www.amazon.com/dp/B0C44D5QGF,2026-05-25,single
Laird Superfood,"Laird Superfood Peppermint Mocha Instant Latte with Adaptogens – Antioxidants and Superfood Coconut Creamer – Boost of Functional Fuel – Gluten Free, Non-GMO, Vegan, 8 oz. Bag, Pack of 1",creamer,,30,226.8,19.0,0.0,0.6333,adaptogen,amazon,https://www.amazon.com/dp/B0CKD32MFM,2026-05-25,single
Laird Superfood,"Laird Superfood Peppermint Mocha Instant Latte with Adaptogens – Antioxidants and Superfood Coconut Creamer – Boost of Functional Fuel – Gluten Free, Non-GMO, Vegan, 8 oz. Bag, Pack of 1",creamer,,30,226.8,18.05,5.0,0.6017,adaptogen,amazon,https://www.amazon.com/dp/B0CKD32MFM,2026-05-25,subscription
Laird Superfood,"Laird Superfood Protein Instant Latte, Sweet & Creamy, Non-Dairy, Superfood Creamer and Coffee, Gluten Free, Non-GMO, Vegan, 8 oz. Bag, Pack of 1",creamer,,30,226.8,20.0,0.0,0.6667,,amazon,https://www.amazon.com/dp/B0FL86WFXS,2026-05-25,single
Laird Superfood,"Laird Superfood Protein Instant Latte, Sweet & Creamy, Non-Dairy, Superfood Creamer and Coffee, Gluten Free, Non-GMO, Vegan, 8 oz. Bag, Pack of 1",creamer,,30,226.8,19.0,5.0,0.6333,,amazon,https://www.amazon.com/dp/B0FL86WFXS,2026-05-25,subscription
Laird Superfood,"Laird Superfood Instant Latte 100% Aribica Coffee with Reduced Sugar, Non-Dairy, Superfood Creamer, Gluten Free, Non-GMO, Vegan, 8 oz. Bag, Pack of 1",creamer,,80,226.8,26.99,0.0,0.3374,,amazon,https://www.amazon.com/dp/B07VBH19ST,2026-05-25,single
Laird Superfood,"Laird Superfood Vanilla Instant Latte, Non-Dairy, Superfood Creamer, Gluten Free, Non-GMO, Vegan, 8 oz. Bag, Pack of 1",creamer,,38,226.8,19.0,0.0,0.5,,amazon,https://www.amazon.com/dp/B0F44GWLS7,2026-05-25,single
Laird Superfood,"Laird Superfood Vanilla Instant Latte, Non-Dairy, Superfood Creamer, Gluten Free, Non-GMO, Vegan, 8 oz. Bag, Pack of 1",creamer,,38,226.8,18.05,5.0,0.475,,amazon,https://www.amazon.com/dp/B0F44GWLS7,2026-05-25,subscription
Laird Superfood,"Laird Superfood Instant Latte Sweet & Creamy, Non-Dairy, Superfood Creamer, Gluten Free, Non-GMO, Vegan, 15pk Sachets",packet,,20,510.3,33.0,0.0,1.65,,amazon,https://www.amazon.com/dp/B0DG3HBQX9,2026-05-25,single
Laird Superfood,"Laird Superfood Instant Latte Sweet & Creamy, Non-Dairy, Superfood Creamer, Gluten Free, Non-GMO, Vegan, 15pk Sachets",packet,,20,510.3,31.35,5.0,1.5675,,amazon,https://www.amazon.com/dp/B0DG3HBQX9,2026-05-25,subscription
Laird Superfood,"Laird Superfood Chai Instant Latte with Adaptogens - Instant Chai Tea Powder with Superfood Coconut Creamer - Gluten Free, Non-GMO, Vegan, 8 oz. Bag, Pack of 2",creamer,,30,453.6,38.0,0.0,1.2667,adaptogen,amazon,https://www.amazon.com/dp/B0FRX1T2QM,2026-05-25,single
Laird Superfood,"Laird Superfood Mocha Instant Latte with Adaptogens – Mocha Latte packed with Antioxidants and Superfood Coconut Creamer – Boost of Functional Fuel – Gluten Free, Non-GMO, Vegan, 8 oz. Bag, Pack of 1",creamer,,30,226.8,19.0,0.0,0.6333,adaptogen,amazon,https://www.amazon.com/dp/B0C2S3424V,2026-05-25,single
Laird Superfood,"Laird Superfood Mocha Instant Latte with Adaptogens – Mocha Latte packed with Antioxidants and Superfood Coconut Creamer – Boost of Functional Fuel – Gluten Free, Non-GMO, Vegan, 8 oz. Bag, Pack of 1",creamer,,30,226.8,18.05,5.0,0.6017,adaptogen,amazon,https://www.amazon.com/dp/B0C2S3424V,2026-05-25,subscription
Laird Superfood,"Laird Superfood Non-Dairy Coffee Creamer Mocha, Shelf-Stable Superfood Non-Dairy Powder Creamer, Gluten Free, Non-GMO, Vegan, 16 oz. Bag, Pack of 1",creamer,,30,453.6,24.0,0.0,0.8,,amazon,https://www.amazon.com/dp/B06XGKP8TS,2026-05-25,single
Laird Superfood,"Laird Superfood Non-Dairy Coffee Creamer Mocha, Shelf-Stable Superfood Non-Dairy Powder Creamer, Gluten Free, Non-GMO, Vegan, 16 oz. Bag, Pack of 1",creamer,,30,453.6,22.8,5.0,0.76,,amazon,https://www.amazon.com/dp/B06XGKP8TS,2026-05-25,subscription
Laird Superfood,"Laird Superfood Non-Dairy Original Superfood Peppermint Mocha Coconut Powder Coffee Creamer, Gluten Free, Non-GMO, Vegan, 8 oz. Bag, Pack of 1",creamer,,0,226.8,14.0,0.0,,,amazon,https://www.amazon.com/dp/B07KX49QCB,2026-05-25,single
Laird Superfood,"Laird Superfood Non-Dairy Original Superfood Peppermint Mocha Coconut Powder Coffee Creamer, Gluten Free, Non-GMO, Vegan, 8 oz. Bag, Pack of 1",creamer,,0,226.8,13.3,5.0,,,amazon,https://www.amazon.com/dp/B07KX49QCB,2026-05-25,subscription
Laird Superfood,"Laird Superfood Non-Dairy Superfood Creamer (Pumpkin Spice, 32oz)",creamer,,1,907.2,5.79,0.0,5.79,,amazon,https://www.amazon.com/dp/B0CL59L4QG,2026-05-25,single
Laird Superfood,"Laird Superfood Non-Dairy Superfood Creamer - Coconut Powder Coffee Creamer - Sweet & Creamy - Gluten Free, Non-GMO, Vegan - 16 oz. Bag, Pack of 1",creamer,,30,453.6,9.99,0.0,0.333,,amazon,https://www.amazon.com/dp/B01CM4JEKI,2026-05-25,single
Laird Superfood,"Laird Superfood Non-Dairy Original Superfood Turmeric Coconut Powder Coffee Creamer, Gluten Free, Non-GMO, Vegan, 16 oz. Bag, Pack of 1",creamer,,28,453.6,24.0,0.0,0.8571,,amazon,https://www.amazon.com/dp/B01N2B3DEG,2026-05-25,single
Laird Superfood,"Laird Superfood Non-Dairy Original Superfood Turmeric Coconut Powder Coffee Creamer, Gluten Free, Non-GMO, Vegan, 16 oz. Bag, Pack of 1",creamer,,28,453.6,22.8,5.0,0.8143,,amazon,https://www.amazon.com/dp/B01N2B3DEG,2026-05-25,subscription
