product_id,brand,product_name,format,serving_size_g,serving_count,volume_g,price_usd,discount_pct,serving_price,key_ingredient,channel,url,date_collected,purchase_type
,Laird Superfood,Chocolate Lovers Bundle,bundle,,,,63.65,0,,adaptogen,own_site,https://lairdsuperfood.com/products/chocolate-lovers-bundle,2026-05-25,single
,Laird Superfood,Chocolate Lovers Bundle,bundle,,,,50.92,20.0,,adaptogen,own_site,https://lairdsuperfood.com/products/chocolate-lovers-bundle,2026-05-25,subscription
,Laird Superfood,Functional Mushroom Coffee K-Cups,pods,,,,15.0,0,,chaga,own_site,https://lairdsuperfood.com/products/functional-mushroom-coffee-k-cups-medium-roast,2026-05-25,single
,Laird Superfood,Functional Mushroom Coffee K-Cups,pods,,,,12.0,20.0,,chaga,own_site,https://lairdsuperfood.com/products/functional-mushroom-coffee-k-cups-medium-roast,2026-05-25,subscription
,Laird Superfood,Gabby's Favorites Bundle,bundle,,,,50.35,0,,,own_site,https://lairdsuperfood.com/products/gabbys-favorites-bundle,2026-05-25,single
,Laird Superfood,Gabby's Favorites Bundle,bundle,,,,40.28,20.0,,,own_site,https://lairdsuperfood.com/products/gabbys-favorites-bundle,2026-05-25,subscription
,Laird Superfood,Laird's Favorites Bundle,bundle,,,,107.35,0,,,own_site,https://lairdsuperfood.com/products/lairds-favorites-bundle,2026-05-25,single
,Laird Superfood,Laird's Favorites Bundle,bundle,,,,85.88,20.0,,,own_site,https://lairdsuperfood.com/products/lairds-favorites-bundle,2026-05-25,subscription
,Laird Superfood,Organic Decaf Perform Functional Mushroom Ground Medium Roast Coffee,instant,,,340.2,20.0,0,,mushroom,own_site,https://lairdsuperfood.com/products/organic-decaf-perform-functional-mushroom-ground-medium-roast-coffee,2026-05-25,single
,Laird Superfood,Organic Decaf Perform Functional Mushroom Ground Medium Roast Coffee,instant,,,340.2,16.0,20.0,,mushroom,own_site,https://lairdsuperfood.com/products/organic-decaf-perform-functional-mushroom-ground-medium-roast-coffee,2026-05-25,subscription
,Laird Superfood,Organic PERFORM Functional Mushroom Coffee - Dark Roast Ground,instant,,,340.2,20.0,0,,chaga,own_site,https://lairdsuperfood.com/products/perform-dark-roast-ground-functional-mushroom-coffee,2026-05-25,single
,Laird Superfood,Organic PERFORM Functional Mushroom Coffee - Dark Roast Ground,instant,,,340.2,16.0,20.0,,chaga,own_site,https://lairdsuperfood.com/products/perform-dark-roast-ground-functional-mushroom-coffee,2026-05-25,subscription
,Laird Superfood,Organic PERFORM Functional Mushroom Coffee - Dark Roast Ground,instant,,,1360.8,76.0,0,,chaga,own_site,https://lairdsuperfood.com/products/perform-dark-roast-ground-functional-mushroom-coffee,2026-05-25,single
,Laird Superfood,Organic PERFORM Functional Mushroom Coffee - Dark Roast Ground,instant,,,1360.8,60.8,20.0,,chaga,own_site,https://lairdsuperfood.com/products/perform-dark-roast-ground-functional-mushroom-coffee,2026-05-25,subscription
,Laird Superfood,Organic PERFORM Functional Mushroom Coffee - Dark Roast Ground,instant,,,2041.2,114.0,0,,chaga,own_site,https://lairdsuperfood.com/products/perform-dark-roast-ground-functional-mushroom-coffee,2026-05-25,single
,Laird Superfood,Organic PERFORM Functional Mushroom Coffee - Dark Roast Ground,instant,,,2041.2,91.2,20.0,,chaga,own_site,https://lairdsuperfood.com/products/perform-dark-roast-ground-functional-mushroom-coffee,2026-05-25,subscription
,Laird Superfood,Organic PERFORM Functional Mushroom Coffee - Medium Roast Ground,instant,,,340.2,20.0,0,,chaga,own_site,https://lairdsuperfood.com/products/perform-medium-roast-ground-mushroom-coffee,2026-05-25,single
,Laird Superfood,Organic PERFORM Functional Mushroom Coffee - Medium Roast Ground,instant,,,340.2,16.0,20.0,,chaga,own_site,https://lairdsuperfood.com/products/perform-medium-roast-ground-mushroom-coffee,2026-05-25,subscription
,Laird Superfood,Organic PERFORM Functional Mushroom Coffee - Medium Roast Ground,instant,,,1360.8,76.0,0,,chaga,own_site,https://lairdsuperfood.com/products/perform-medium-roast-ground-mushroom-coffee,2026-05-25,single
,Laird Superfood,Organic PERFORM Functional Mushroom Coffee - Medium Roast Ground,instant,,,1360.8,60.8,20.0,,chaga,own_site,https://lairdsuperfood.com/products/perform-medium-roast-ground-mushroom-coffee,2026-05-25,subscription
,Laird Superfood,Organic PERFORM Functional Mushroom Coffee - Medium Roast Ground,instant,,,2041.2,114.0,0,,chaga,own_site,https://lairdsuperfood.com/products/perform-medium-roast-ground-mushroom-coffee,2026-05-25,single
,Laird Superfood,Organic PERFORM Functional Mushroom Coffee - Medium Roast Ground,instant,,,2041.2,91.2,20.0,,chaga,own_site,https://lairdsuperfood.com/products/perform-medium-roast-ground-mushroom-coffee,2026-05-25,subscription
,Laird Superfood,Organic Perform Functional Mushroom Whole Bean Dark Roast Coffee,ground,,,340.2,20.0,0,,mushroom,own_site,https://lairdsuperfood.com/products/organic-perform-functional-mushroom-whole-bean-dark-roast-coffee,2026-05-25,single
,Laird Superfood,Organic Perform Functional Mushroom Whole Bean Dark Roast Coffee,ground,,,340.2,16.0,20.0,,mushroom,own_site,https://lairdsuperfood.com/products/organic-perform-functional-mushroom-whole-bean-dark-roast-coffee,2026-05-25,subscription
,Laird Superfood,Organic Perform Functional Mushroom Whole Bean Medium Roast Coffee,ground,,,340.2,20.0,0,,mushroom,own_site,https://lairdsuperfood.com/products/organic-perform-functional-mushroom-whole-bean-medium-roast-coffee,2026-05-25,single
,Laird Superfood,Organic Perform Functional Mushroom Whole Bean Medium Roast Coffee,ground,,,340.2,16.0,20.0,,mushroom,own_site,https://lairdsuperfood.com/products/organic-perform-functional-mushroom-whole-bean-medium-roast-coffee,2026-05-25,subscription
,Laird Superfood,Protein Creamer,creamer,,,226.8,20.0,0,,mushroom,own_site,https://lairdsuperfood.com/products/protein-creamer,2026-05-25,single
,Laird Superfood,Protein Creamer,creamer,,,226.8,16.0,20.0,,mushroom,own_site,https://lairdsuperfood.com/products/protein-creamer,2026-05-25,subscription
,Laird Superfood,Protein Creamer,creamer,,,,114.0,0,,mushroom,own_site,https://lairdsuperfood.com/products/protein-creamer,2026-05-25,single
,Laird Superfood,Protein Creamer,creamer,,,,91.2,20.0,,mushroom,own_site,https://lairdsuperfood.com/products/protein-creamer,2026-05-25,subscription
,Laird Superfood,Shawn Ryan Bundle,bundle,,,,78.85,0,,mushroom,own_site,https://lairdsuperfood.com/products/shawn-ryan-bundle,2026-05-25,single
,Laird Superfood,Shawn Ryan Bundle,bundle,,,,63.08,20.0,,mushroom,own_site,https://lairdsuperfood.com/products/shawn-ryan-bundle,2026-05-25,subscription
,Laird Superfood,Superfood Creamer® 3-Pack,creamer,,,453.6,68.4,0,,,own_site,https://lairdsuperfood.com/products/laird-superfood-creamer-sampler-pack,2026-05-25,single
,Laird Superfood,Superfood Creamer® 3-Pack,creamer,,,453.6,54.72,20.0,,,own_site,https://lairdsuperfood.com/products/laird-superfood-creamer-sampler-pack,2026-05-25,subscription
,Laird Superfood,Superfood Creamer® 3-Pack,creamer,,,226.8,39.9,0,,,own_site,https://lairdsuperfood.com/products/laird-superfood-creamer-sampler-pack,2026-05-25,single
,Laird Superfood,Superfood Creamer® 3-Pack,creamer,,,226.8,31.92,20.0,,,own_site,https://lairdsuperfood.com/products/laird-superfood-creamer-sampler-pack,2026-05-25,subscription
,Laird Superfood,Superfood Creamer® 4-Pack,creamer,,,453.6,91.2,0,,,own_site,https://lairdsuperfood.com/products/laird-superfood-creamer-sampler-4-pack,2026-05-25,single
,Laird Superfood,Superfood Creamer® 4-Pack,creamer,,,453.6,72.96,20.0,,,own_site,https://lairdsuperfood.com/products/laird-superfood-creamer-sampler-4-pack,2026-05-25,subscription
,Laird Superfood,Superfood Creamer® 4-Pack,creamer,,,226.8,53.2,0,,,own_site,https://lairdsuperfood.com/products/laird-superfood-creamer-sampler-4-pack,2026-05-25,single
,Laird Superfood,Superfood Creamer® 4-Pack,creamer,,,226.8,42.56,20.0,,,own_site,https://lairdsuperfood.com/products/laird-superfood-creamer-sampler-4-pack,2026-05-25,subscription
,Laird Superfood,The Perfect Cup Bundle,bundle,,,,37.05,0,,mushroom,own_site,https://lairdsuperfood.com/products/the-perfect-cup-bundle,2026-05-25,single
,Laird Superfood,The Perfect Cup Bundle,bundle,,,,29.64,20.0,,mushroom,own_site,https://lairdsuperfood.com/products/the-perfect-cup-bundle,2026-05-25,subscription
,Laird Superfood,"Laird Superfood Coffee Creamer Sampler Pack | Non-Dairy | Organic | Gluten Free | Vegan | Paleo Diet Approved | Unsweetened, Original, Cacao and Turmeric- 8 Ounce (Pack of 4)",packet,,30,907.2,28.0,0.0,0.9333,,amazon,https://www.amazon.com/dp/B0714G3S6J,2026-05-25,single
,Laird Superfood,"Laird Superfood Functional Mushrooms Hot Chocolate, Organic Cacao Powder Blended with Nourishing Mushrooms, 8 oz. Bag, Pack of 1",instant,,50,226.8,20.0,0.0,0.4,mushroom blend,amazon,https://www.amazon.com/dp/B081FDD412,2026-05-25,single
,Laird Superfood,"Laird Superfood Functional Mushrooms Hot Chocolate, Organic Cacao Powder Blended with Nourishing Mushrooms, 8 oz. Bag, Pack of 1",instant,,50,226.8,19.0,5.0,0.38,mushroom blend,amazon,https://www.amazon.com/dp/B081FDD412,2026-05-25,subscription
,Laird Superfood,"Laird Superfood Instant Latte Matcha, Non-Dairy, Superfood Creamer, Gluten Free, Non-GMO, Vegan, 15pk Sachets",packet,,20,510.3,33.0,0.0,1.65,,amazon,https://www.amazon.com/dp/B0DG49166Y,2026-05-25,single
,Laird Superfood,"Laird Superfood Instant Latte Matcha, Non-Dairy, Superfood Creamer, Gluten Free, Non-GMO, Vegan, 15pk Sachets",packet,,20,510.3,31.35,5.0,1.5675,,amazon,https://www.amazon.com/dp/B0DG49166Y,2026-05-25,subscription
,Laird Superfood,"Laird Superfood Instant Latte Sweet & Creamy, Non-Dairy, Superfood Creamer, Gluten Free, Non-GMO, Vegan, 15pk Sachets",packet,,20,510.3,33.0,0.0,1.65,,amazon,https://www.amazon.com/dp/B0DG3HBQX9,2026-05-25,single
,Laird Superfood,"Laird Superfood Instant Latte Sweet & Creamy, Non-Dairy, Superfood Creamer, Gluten Free, Non-GMO, Vegan, 15pk Sachets",packet,,20,510.3,31.35,5.0,1.5675,,amazon,https://www.amazon.com/dp/B0DG3HBQX9,2026-05-25,subscription
