brand,product_name,format,serving_size_g,serving_count,volume_g,price_usd,discount_pct,serving_price,key_ingredient,channel,url,date_collected,purchase_type
BodyBrain Coffee,BodyBrain Testosterone Boosting Coffee,packet,,30,283.5,44.99,0,,ashwagandha,own_site,https://bodybraincoffee.com/products/bag-of-body-brain-coffee,23.05.2026,single
BodyBrain Coffee,BodyBrain Testosterone Boosting Coffee,packet,,30,283.5,35.99,20,,ashwagandha,own_site,https://bodybraincoffee.com/products/bag-of-body-brain-coffee,23.05.2026,subscription
BodyBrain Coffee,BodyBrain Coffee 2 Pack,packet,,60,283.5,79.98,11,,ashwagandha,own_site,https://bodybraincoffee.com/products/bodybrain-coffee-strength-focus-in-every-sip-copy,23.05.2026,single
BodyBrain Coffee,BodyBrain Creamer — Vitality Blend (30 Sachets),packet,,30,428.1,49.99,0,,cordyceps,own_site,https://bodybraincoffee.com/products/bodybrain-creamer-vitality-blend-30-sachets,23.05.2026,single
Clevr,Chai Superlatte,instant,,14,,29,0,,adaptogen,own_site,https://clevrblends.com/products/chai-superlatte,23.05.2026,single
Clevr,Chai Superlatte,instant,,14,,20.3,30,,adaptogen,own_site,https://clevrblends.com/products/chai-superlatte,23.05.2026,subscription
Clevr,Chill Chai Superlatte,instant,,14,,29,0,,adaptogen,own_site,https://clevrblends.com/products/chill-chai-superlatte,23.05.2026,single
Clevr,Chill Chai Superlatte,instant,,14,,20.3,30,,adaptogen,own_site,https://clevrblends.com/products/chill-chai-superlatte,23.05.2026,subscription
Clevr,Coffee SuperLatte - 8 Servings,instant,,8,,18,0,2.25,,own_site,https://clevrblends.com/products/coffee-superlatte-8-servings,23.05.2026,single
Clevr,Honey Lavender Matcha SuperLatte,instant,,14,,29,0,,adaptogen,own_site,https://clevrblends.com/products/honey-lavender-matcha-superlatte,23.05.2026,single
Clevr,Honey Lavender Matcha SuperLatte,instant,,14,,20.3,30,,adaptogen,own_site,https://clevrblends.com/products/honey-lavender-matcha-superlatte,23.05.2026,subscription
Clevr,Honey Pistachio Matcha SuperLatte,instant,,14,,29,0,,adaptogen,own_site,https://clevrblends.com/products/pistachio-matcha,23.05.2026,single
Clevr,Honey Pistachio Matcha SuperLatte,instant,,14,,20.3,30,,adaptogen,own_site,https://clevrblends.com/products/pistachio-matcha,23.05.2026,subscription
Clevr,Sleeptime SuperLatte,instant,,14,,29,0,,adaptogen,own_site,https://clevrblends.com/products/sleeptime-superlatte,23.05.2026,single
Clevr,Sleeptime SuperLatte,instant,,14,,20.3,30,,adaptogen,own_site,https://clevrblends.com/products/sleeptime-superlatte,23.05.2026,subscription
Clevr,Salted Caramel Chai SuperLatte,instant,,14,,29,0,,adaptogen,own_site,https://clevrblends.com/products/salted-caramel-chai,23.05.2026,single
Clevr,Salted Caramel Chai SuperLatte,instant,,14,,20.3,30,,adaptogen,own_site,https://clevrblends.com/products/salted-caramel-chai,23.05.2026,subscription
Clevr,Matcha SuperLatte,instant,,14,,29,0,,adaptogen,own_site,https://clevrblends.com/products/matcha-superlatte,23.05.2026,single
Clevr,Matcha SuperLatte,instant,,14,,20.3,30,,adaptogen,own_site,https://clevrblends.com/products/matcha-superlatte,23.05.2026,subscription
Clevr,Iced Strawberry Matcha SuperLatte,instant,,14,,29,0,,adaptogen,own_site,https://clevrblends.com/products/iced-strawberry-matcha-superlatte,23.05.2026,single
Clevr,Iced Strawberry Matcha SuperLatte,instant,,14,,20.3,30,,adaptogen,own_site,https://clevrblends.com/products/iced-strawberry-matcha-superlatte,23.05.2026,subscription
Clevr,Honey Vanilla Matcha SuperLatte,instant,,14,,29,0,,adaptogen,own_site,https://clevrblends.com/products/honey-vanilla-matcha-superlatte,23.05.2026,single
Clevr,Honey Vanilla Matcha SuperLatte,instant,,14,,20.3,30,,adaptogen,own_site,https://clevrblends.com/products/honey-vanilla-matcha-superlatte,23.05.2026,subscription
Clevr,London Fog SuperLatte,instant,,14,,29,0,,adaptogen,own_site,https://clevrblends.com/products/london-fog-superlatte,23.05.2026,single
Clevr,London Fog SuperLatte,instant,,14,,20.3,30,,adaptogen,own_site,https://clevrblends.com/products/london-fog-superlatte,23.05.2026,subscription
Clevr,Mocha SuperLatte,instant,,14,,29,0,,adaptogen,own_site,https://clevrblends.com/products/mocha-superlatte,23.05.2026,single
Clevr,Mocha SuperLatte,instant,,14,,20.3,30,,adaptogen,own_site,https://clevrblends.com/products/mocha-superlatte,23.05.2026,subscription
Everyday Dose,30 Servings Coffee+ Medium Roast,instant,7.3,30,219.0,45.0,0,1.5,,own_site,https://everydaydose.com/products/30-servings-bold-coffee-2,2026-05-25,single
Everyday Dose,30 Servings Coffee+ Medium Roast,instant,7.3,30,219.0,40.05,11.0,1.33,,own_site,https://everydaydose.com/products/30-servings-bold-coffee-2,2026-05-25,subscription
Everyday Dose,60 Servings Coffee+ Medium Roast,instant,7.3,60,438.0,90.0,0,1.5,,own_site,https://everydaydose.com/products/60-servings-bold-coffee,2026-05-25,single
Everyday Dose,60 Servings Coffee+ Medium Roast,instant,7.3,60,438.0,80.1,11.0,1.33,,own_site,https://everydaydose.com/products/60-servings-bold-coffee,2026-05-25,subscription
Everyday Dose,90 Servings Coffee+ Medium Roast,instant,7.3,90,657.0,135.0,0,1.5,collagen,own_site,https://everydaydose.com/products/90-servings-bold-coffee,2026-05-25,single
Everyday Dose,90 Servings Coffee+ Medium Roast,instant,7.3,90,657.0,120.15,11.0,1.33,collagen,own_site,https://everydaydose.com/products/90-servings-bold-coffee,2026-05-25,subscription
Everyday Dose,90 Servings of Coffee+ Medium Roast + FREE Starter Kit,bundle,7.3,90,657.0,155.0,0,1.72,collagen,own_site,https://everydaydose.com/products/90-servings-of-bold-coffee-free-starter-kit,2026-05-25,single
Everyday Dose,90 Servings of Coffee+ Medium Roast + FREE Starter Kit,bundle,7.3,90,657.0,137.95,11.0,1.53,collagen,own_site,https://everydaydose.com/products/90-servings-of-bold-coffee-free-starter-kit,2026-05-25,subscription
Everyday Dose,60 Servings of Coffee+ Medium Roast + FREE Starter Kit,bundle,7.3,60,438.0,100.0,0,1.67,,own_site,https://everydaydose.com/products/60-servings-of-bold-coffee-free-starter-kit-special-price,2026-05-25,single
Everyday Dose,60 Servings of Coffee+ Medium Roast + FREE Starter Kit,bundle,7.3,60,438.0,89.0,11.0,1.48,,own_site,https://everydaydose.com/products/60-servings-of-bold-coffee-free-starter-kit-special-price,2026-05-25,subscription
Everyday Dose,30 Servings of Coffee+ Medium Roast + FREE Starter Kit + FREE A2 Probiotic Creamer,bundle,7.3,30,219.0,65.0,0,2.17,collagen,own_site,https://everydaydose.com/products/30-servings-of-coffee-medium-roast-free-starter-kit-free-a2-probiotic-creamer,2026-05-25,single
Everyday Dose,30 Servings of Coffee+ Medium Roast + FREE Starter Kit + FREE A2 Probiotic Creamer,bundle,7.3,30,219.0,57.85,11.0,1.93,collagen,own_site,https://everydaydose.com/products/30-servings-of-coffee-medium-roast-free-starter-kit-free-a2-probiotic-creamer,2026-05-25,subscription
Four Sigmatic,Prime Original: THE BOYS�Creatine Coffee,ground,,13,,14,30,1.08,,own_site,https://us.foursigmatic.com/products/prime-original-the-boys-creatine-coffee,20.05.2026,subscription
Four Sigmatic,Prime Original: THE BOYS�Creatine Coffee,ground,,26,,28,30,1.08,,own_site,https://us.foursigmatic.com/products/prime-original-the-boys-creatine-coffee,20.05.2026,subscription
Four Sigmatic,Prime Original: THE BOYS�Creatine Coffee,ground,,52,,56,30,1.08,,own_site,https://us.foursigmatic.com/products/prime-original-the-boys-creatine-coffee,20.05.2026,subscription
Four Sigmatic,Prime Original: THE BOYS�Creatine Coffee,ground,,13,,20,30,1.54,,own_site,https://us.foursigmatic.com/products/prime-original-the-boys-creatine-coffee,20.05.2026,single
Four Sigmatic,Prime Original: THE BOYS�Creatine Coffee,ground,,26,,40,30,1.54,,own_site,https://us.foursigmatic.com/products/prime-original-the-boys-creatine-coffee,20.05.2026,single
Four Sigmatic,Prime Original: THE BOYS�Creatine Coffee,ground,,52,,80,0,1.54,,own_site,https://us.foursigmatic.com/products/prime-original-the-boys-creatine-coffee,20.05.2026,single
Four Sigmatic,Focus Ground Coffee - Dark,ground,,13,,10,50,0.77,,own_site,https://us.foursigmatic.com/products/focus-ground-coffee-bag,20.05.2026,subscription
Four Sigmatic,Focus Ground Coffee - Dark,ground,,26,,20,50,0.77,,own_site,https://us.foursigmatic.com/products/focus-ground-coffee-bag,20.05.2026,subscription
Four Sigmatic,Focus Ground Coffee - Dark,ground,,52,,40,50,0.77,,own_site,https://us.foursigmatic.com/products/focus-ground-coffee-bag,20.05.2026,subscription
Four Sigmatic,Focus Ground Coffee - Dark,ground,,13,,16,20,1.23,,own_site,https://us.foursigmatic.com/products/focus-ground-coffee-bag,20.05.2026,single
Four Sigmatic,Focus Ground Coffee - Dark,ground,,26,,32,20,1.23,,own_site,https://us.foursigmatic.com/products/focus-ground-coffee-bag,20.05.2026,single
Four Sigmatic,Focus Ground Coffee - Dark,ground,,52,,64,20,1.23,,own_site,https://us.foursigmatic.com/products/focus-ground-coffee-bag,20.05.2026,single
Four Sigmatic,Focus Ground Coffee - Medium,ground,,13,,10,50,0.77,,own_site,https://us.foursigmatic.com/products/focus-ground-coffee-medium-roast,20.05.2026,subscription
Four Sigmatic,Focus Ground Coffee - Medium,ground,,26,,20,50,0.77,,own_site,https://us.foursigmatic.com/products/focus-ground-coffee-medium-roast,20.05.2026,subscription
Four Sigmatic,Focus Ground Coffee - Medium,ground,,52,,40,50,0.77,,own_site,https://us.foursigmatic.com/products/focus-ground-coffee-medium-roast,20.05.2026,subscription
