brand_id;product_id;brand;product_name;format;serving_size_g;serving_count;volume_g;price_usd;discount_pct;serving_price;key_ingredient;channel;url;date_collected;purchase_type
1;1;BodyBrain Coffee;BodyBrain Testosterone Boosting Coffee;packet;;30;283.5;44.99;0;1.4997;ashwagandha;own_site;https://bodybraincoffee.com/products/bag-of-body-brain-coffee;23.05.2026;single
1;1;BodyBrain Coffee;BodyBrain Testosterone Boosting Coffee;packet;;30;283.5;35.99;20;1.1997;ashwagandha;own_site;https://bodybraincoffee.com/products/bag-of-body-brain-coffee;23.05.2026;subscription
1;1;BodyBrain Coffee;BodyBrain Testosterone Boosting Coffee;packet;;;283.5;39.99;0;;ashwagandha;amazon;https://www.amazon.com/BodyBrain-Coffee-Testosterone-Ashwagandha-L-Theanine/dp/B0FBZ39C1V/ref=sr_1_1?crid=HENNA1836VXY&dib=eyJ2IjoiMSJ9.ZLYwXPswDMo-dBmjJPSvdtmnqsr7KroUuFiAwIGDpA8uIZPojfKh8WKLtxnPU5x-qcfbd87KuHJJ5T-cjsPgGO_Nt2CkN5rX-EI7u6sw5MS0UKXdIaFYXUhUpcr1wzcn0-czvoT4T_RcSbKgw9yIKURNj2_eNodpD0reH8tsN3ClPk9DUzvPMqubjPoDkIUulYARKcARlj93yh1FmV7VuvU6waTprbe83E0rK0d2w7pi6naZ5T0UvRKok_IqiHicZeleDM-GylnYao3W2q_1I1h3ZRlYkaih6feNT9Pe7R0.reGx1LzHBKD7Wvi-wus8lCNBuhXzwbiIKc7dLX7G0xc&dib_tag=se&keywords=bodybrain+coffee&qid=1779530340&refresh=1&sprefix=bodybrain%2Caps%2C239&sr=8-1;23.05.2026;single
2;2;Clevr Blends;Chai Superlatte;instant;;14;;29;0;2.0714;adaptogen;own_site;https://clevrblends.com/products/chai-superlatte;23.05.2026;single
2;2;Clevr Blends;Chai Superlatte;instant;;14;;20.3;30;1.45;adaptogen;own_site;https://clevrblends.com/products/chai-superlatte;23.05.2026;subscription
2;3;Clevr Blends;Chill Chai Superlatte;instant;;14;;29;0;2.0714;adaptogen;own_site;https://clevrblends.com/products/chill-chai-superlatte;23.05.2026;single
2;3;Clevr Blends;Chill Chai Superlatte;instant;;14;;20.3;30;1.45;adaptogen;own_site;https://clevrblends.com/products/chill-chai-superlatte;23.05.2026;subscription
2;4;Clevr Blends;Coffee SuperLatte - 8 Servings;instant;;8;;18;0;2.25;;own_site;https://clevrblends.com/products/coffee-superlatte-8-servings;23.05.2026;single
2;7;Clevr Blends;Sleeptime SuperLatte;instant;;14;;29;0;2.0714;adaptogen;own_site;https://clevrblends.com/products/sleeptime-superlatte;23.05.2026;single
2;7;Clevr Blends;Sleeptime SuperLatte;instant;;14;;20.3;30;1.45;adaptogen;own_site;https://clevrblends.com/products/sleeptime-superlatte;23.05.2026;subscription
2;8;Clevr Blends;Salted Caramel Chai SuperLatte;instant;;14;;29;0;2.0714;adaptogen;own_site;https://clevrblends.com/products/salted-caramel-chai;23.05.2026;single
2;8;Clevr Blends;Salted Caramel Chai SuperLatte;instant;;14;;20.3;30;1.45;adaptogen;own_site;https://clevrblends.com/products/salted-caramel-chai;23.05.2026;subscription
2;12;Clevr Blends;London Fog SuperLatte;instant;;14;;29;0;2.0714;adaptogen;own_site;https://clevrblends.com/products/london-fog-superlatte;23.05.2026;single
2;12;Clevr Blends;London Fog SuperLatte;instant;;14;;20.3;30;1.45;adaptogen;own_site;https://clevrblends.com/products/london-fog-superlatte;23.05.2026;subscription
2;13;Clevr Blends;Mocha SuperLatte;instant;;14;;29;0;2.0714;adaptogen;own_site;https://clevrblends.com/products/mocha-superlatte;23.05.2026;single
2;13;Clevr Blends;Mocha SuperLatte;instant;;14;;20.3;30;1.45;adaptogen;own_site;https://clevrblends.com/products/mocha-superlatte;23.05.2026;subscription
3;14;Everyday Dose;30 Servings Coffee+ Mild Roast;instant;7.3;30;219;45;0;1.5;;own_site;https://everydaydose.com/products/30-servings-bold-coffee-2;25.05.2026;single
3;14;Everyday Dose;30 Servings Coffee+ Mild Roast;instant;;30;218.3;39.99;0;1.333;chaga;amazon;https://www.amazon.com/dp/B0B53Y7Z7D;25.05.2026;single
