brand;product_name;format;serving_size_g;serving_count;volume_g;price_usd;discount_pct;serving_price;key_ingredient;channel;url;date_collected;purchase_type;status
Clevr;Yuzu Lemonade SuperTea;instant;;14;;29;0;;;own_site;https://clevrblends.com/products/yuzu-lemon-supertea-1;23.05.2026;single;-
Clevr;Yuzu Lemonade SuperTea;instant;;14;;20.3;30;;;own_site;https://clevrblends.com/products/yuzu-lemon-supertea-1;23.05.2026;subscription;-
;;;;;;;;;;;;;;-
Laird Superfood;Organic Morning Jumpstart;instant;;;76.5;24;0;;;own_site;https://lairdsuperfood.com/products/morning-jumpstart;23.05.2026;single;-
Laird Superfood;Organic Morning Jumpstart;instant;;;76.5;19.2;20;;;own_site;https://lairdsuperfood.com/products/morning-jumpstart;23.05.2026;subscription;-
Laird Superfood;Organic Morning Jumpstart;instant;;;382.7;114;0;;;own_site;https://lairdsuperfood.com/products/morning-jumpstart;23.05.2026;single;-
Laird Superfood;Organic Morning Jumpstart;instant;;;382.7;91.2;20;;;own_site;https://lairdsuperfood.com/products/morning-jumpstart;23.05.2026;subscription;-
MudWtr;Coconut Sweetener (30 serving);instant;5;30;150;21.25;15;0.71;;own_site;https://mudwtr.com/products/30-serving-sweetener-bag;23.05.2026;single;-
MudWtr;Coconut Sweetener (30 serving);instant;5;30;150;17;32;0.57;;own_site;https://mudwtr.com/products/30-serving-sweetener-bag;23.05.2026;subscription;-
MudWtr;Coconut Sweetener (90 serving);instant;5;90;450;42.5;15;0.47;;own_site;https://mudwtr.com/products/90-serving-sweetener-bag;23.05.2026;single;-
MudWtr;Coconut Sweetener (90 serving);instant;5;90;450;34;32;0.38;;own_site;https://mudwtr.com/products/90-serving-sweetener-bag;23.05.2026;subscription;-
MudWtr;Mushroom Boost (30 serving);instant;5;30;150;21.25;15;0.71;mushroom;own_site;https://mudwtr.com/products/30-serving-mushroom-boost;23.05.2026;single;-
