brand;product_name;format;serving_price;serving_count;volume_g;price_usd;discount_pct;key_ingredient;channel;url;date_collected;purchase_type;add_ons
Four Sigmatic;Prime Original: THE BOYS™Creatine Coffee;ground;1.08;13;;14;30;;own_site;https://us.foursigmatic.com/products/prime-original-the-boys-creatine-coffee;20.05.2026;subscription;
Four Sigmatic;Prime Original: THE BOYS™Creatine Coffee;ground;1.08;26;;28;30;;own_site;https://us.foursigmatic.com/products/prime-original-the-boys-creatine-coffee;20.05.2026;subscription;
Four Sigmatic;Prime Original: THE BOYS™Creatine Coffee;ground;1.08;52;;56;30;;own_site;https://us.foursigmatic.com/products/prime-original-the-boys-creatine-coffee;20.05.2026;subscription;
Four Sigmatic;Prime Original: THE BOYS™Creatine Coffee;ground;1.54;13;;20;30;;own_site;https://us.foursigmatic.com/products/prime-original-the-boys-creatine-coffee;20.05.2026;single;
Four Sigmatic;Prime Original: THE BOYS™Creatine Coffee;ground;1.54;26;;40;30;;own_site;https://us.foursigmatic.com/products/prime-original-the-boys-creatine-coffee;20.05.2026;single;
Four Sigmatic;Prime Original: THE BOYS™Creatine Coffee;ground;1.54;52;;80;0;;own_site;https://us.foursigmatic.com/products/prime-original-the-boys-creatine-coffee;20.05.2026;single;
Four Sigmatic;Focus Ground Coffee - Dark;ground;0.77;13;;10;50;;own_site;https://us.foursigmatic.com/products/focus-ground-coffee-bag;20.05.2026;subscription;
Four Sigmatic;Focus Ground Coffee - Dark;ground;0.77;26;;20;50;;own_site;https://us.foursigmatic.com/products/focus-ground-coffee-bag;20.05.2026;subscription;
Four Sigmatic;Focus Ground Coffee - Dark;ground;0.77;52;;40;50;;own_site;https://us.foursigmatic.com/products/focus-ground-coffee-bag;20.05.2026;subscription;
Four Sigmatic;Focus Ground Coffee - Dark;ground;1.23;13;;16;20;;own_site;https://us.foursigmatic.com/products/focus-ground-coffee-bag;20.05.2026;single;
Four Sigmatic;Focus Ground Coffee - Dark;ground;1.23;26;;32;20;;own_site;https://us.foursigmatic.com/products/focus-ground-coffee-bag;20.05.2026;single;
Four Sigmatic;Focus Ground Coffee - Dark;ground;1.23;52;;64;20;;own_site;https://us.foursigmatic.com/products/focus-ground-coffee-bag;20.05.2026;single;
Four Sigmatic;Focus Ground Coffee - Medium;ground;0.77;13;;10;50;;own_site;https://us.foursigmatic.com/products/focus-ground-coffee-medium-roast;20.05.2026;subscription;
Four Sigmatic;Focus Ground Coffee - Medium;ground;0.77;26;;20;50;;own_site;https://us.foursigmatic.com/products/focus-ground-coffee-medium-roast;20.05.2026;subscription;
Four Sigmatic;Focus Ground Coffee - Medium;ground;0.77;52;;40;50;;own_site;https://us.foursigmatic.com/products/focus-ground-coffee-medium-roast;20.05.2026;subscription;
Four Sigmatic;Focus Ground Coffee - Medium;ground;1.23;13;;16;20;;own_site;https://us.foursigmatic.com/products/focus-ground-coffee-medium-roast;20.05.2026;single;
Four Sigmatic;Focus Ground Coffee - Medium;ground;1.23;26;;32;20;;own_site;https://us.foursigmatic.com/products/focus-ground-coffee-medium-roast;20.05.2026;single;
Four Sigmatic;Focus Ground Coffee - Medium;ground;1.23;52;;64;20;;own_site;https://us.foursigmatic.com/products/focus-ground-coffee-medium-roast;20.05.2026;single;
Four Sigmatic;Focus Half Caf Ground Coffee - Medium;ground;0.77;13;;10;50;;own_site;https://us.foursigmatic.com/products/focus-ground-coffee-medium-roast;20.05.2026;subscription;
Four Sigmatic;Focus Half Caf Ground Coffee - Medium;ground;0.77;26;;20;50;;own_site;https://us.foursigmatic.com/products/focus-ground-coffee-medium-roast;20.05.2026;subscription;
Four Sigmatic;Focus Half Caf Ground Coffee - Medium;ground;0.77;52;;40;50;;own_site;https://us.foursigmatic.com/products/focus-ground-coffee-medium-roast;20.05.2026;subscription;
Four Sigmatic;Focus Half Caf Ground Coffee - Medium;ground;1.23;13;;16;20;;own_site;https://us.foursigmatic.com/products/focus-ground-coffee-medium-roast;20.05.2026;single;
Four Sigmatic;Focus Half Caf Ground Coffee - Medium;ground;1.23;26;;32;20;;own_site;https://us.foursigmatic.com/products/focus-ground-coffee-medium-roast;20.05.2026;single;
Four Sigmatic;Focus Half Caf Ground Coffee - Medium;ground;1.23;52;;64;20;;own_site;https://us.foursigmatic.com/products/focus-ground-coffee-medium-roast;20.05.2026;single;
Four Sigmatic;Focus Max Half Caf Ground Coffee - Dark;ground;0.77;13;;10;50;;own_site;https://us.foursigmatic.com/products/boost-high-caf-ground-coffee-bag;20.05.2026;subscription;
Four Sigmatic;Focus Max Half Caf Ground Coffee - Dark;ground;0.77;26;;20;50;;own_site;https://us.foursigmatic.com/products/boost-high-caf-ground-coffee-bag;20.05.2026;subscription;
Four Sigmatic;Focus Max Half Caf Ground Coffee - Dark;ground;0.77;52;;40;50;;own_site;https://us.foursigmatic.com/products/boost-high-caf-ground-coffee-bag;20.05.2026;subscription;
Four Sigmatic;Focus Max Half Caf Ground Coffee - Dark;ground;1.23;13;;16;20;;own_site;https://us.foursigmatic.com/products/boost-high-caf-ground-coffee-bag;20.05.2026;single;
Four Sigmatic;Focus Max Half Caf Ground Coffee - Dark;ground;1.23;26;;32;20;;own_site;https://us.foursigmatic.com/products/boost-high-caf-ground-coffee-bag;20.05.2026;single;
Four Sigmatic;Focus Max Half Caf Ground Coffee - Dark;ground;1.23;52;;64;20;;own_site;https://us.foursigmatic.com/products/boost-high-caf-ground-coffee-bag;20.05.2026;single;
Four Sigmatic;Gut Health Ground Coffee - Medium;ground;0.77;13;;10;50;;own_site;https://us.foursigmatic.com/products/gut-health-ground-coffee-bag;20.05.2026;subscription;
Four Sigmatic;Gut Health Ground Coffee - Medium;ground;0.77;26;;20;50;;own_site;https://us.foursigmatic.com/products/gut-health-ground-coffee-bag;20.05.2026;subscription;
Four Sigmatic;Gut Health Ground Coffee - Medium;ground;0.77;52;;40;50;;own_site;https://us.foursigmatic.com/products/gut-health-ground-coffee-bag;20.05.2026;subscription;
Four Sigmatic;Gut Health Ground Coffee - Medium;ground;1.23;13;;16;20;;own_site;https://us.foursigmatic.com/products/gut-health-ground-coffee-bag;20.05.2026;single;
Four Sigmatic;Gut Health Ground Coffee - Medium;ground;1.23;26;;32;20;;own_site;https://us.foursigmatic.com/products/gut-health-ground-coffee-bag;20.05.2026;single;
Four Sigmatic;Gut Health Ground Coffee - Medium;ground;1.23;52;;64;20;;own_site;https://us.foursigmatic.com/products/gut-health-ground-coffee-bag;20.05.2026;single;
Four Sigmatic;Calm Decaf Ground Coffee - Medium;ground;0.77;13;;10;50;;own_site;https://us.foursigmatic.com/products/calm-decaf-ground-coffee-bag;20.05.2026;subscription;
Four Sigmatic;Calm Decaf Ground Coffee - Medium;ground;0.77;26;;20;50;;own_site;https://us.foursigmatic.com/products/calm-decaf-ground-coffee-bag;20.05.2026;subscription;
Four Sigmatic;Calm Decaf Ground Coffee - Medium;ground;0.77;52;;40;50;;own_site;https://us.foursigmatic.com/products/calm-decaf-ground-coffee-bag;20.05.2026;subscription;
Four Sigmatic;Calm Decaf Ground Coffee - Medium;ground;1.23;13;;16;20;;own_site;https://us.foursigmatic.com/products/calm-decaf-ground-coffee-bag;20.05.2026;single;
Four Sigmatic;Calm Decaf Ground Coffee - Medium;ground;1.23;26;;32;20;;own_site;https://us.foursigmatic.com/products/calm-decaf-ground-coffee-bag;20.05.2026;single;
