brand;product_name;format;serving_size_g;serving_count;volume_g;price_usd;discount_pct;serving_price;key_ingredient;channel;url;date_collected;purchase_type
La Republica;La Republica Instant Mushroom Coffee Organic – 100% Arabica Coffee with Lion’s Mane, Reishi & 5 More Mushrooms for Focus, Immunity, Energy Support & Fast Metabolism – 35 Servings;instant;;35;70;24.69;0;0.7054;reishi;amazon;https://www.amazon.com/dp/B078XR2R6B;25.05.2026;single
La Republica;La Republica Instant Mushroom Coffee Organic – 100% Arabica Coffee with Lion’s Mane, Reishi & 5 More Mushrooms for Focus, Immunity, Energy Support & Fast Metabolism – 35 Servings;instant;;35;70;20.99;15;0.5997;reishi;amazon;https://www.amazon.com/dp/B078XR2R6B;25.05.2026;subscription
La Republica;La Republica Big Shot Instant Mushroom Coffee Organic (120 Servings) with Lion's Mane, Reishi, Chaga, Cordyceps, Maitake, Turkey Tail;instant;;120;240.4;74.99;0;0.6249;lion's mane;amazon;https://www.amazon.com/dp/B08L5JBCDY;25.05.2026;single
La Republica;LRLA SUPERFOODS Organic Mushroom Coffee (HIRIE Edition) 35 Servings, 7 Superfood Mushrooms, Fair Trade Arabica Coffee;ground;;35;60.1;21.99;0;0.6283;mushroom blend;amazon;https://www.amazon.com/dp/B081GHNM46;25.05.2026;single
La Republica;La Republica Big Shot Decaf Instant Mushroom Coffee Organic (120 Servings) with Lion's Mane, Reishi, Chaga, Cordyceps, Maitake, Turkey Tail;instant;;120;240.4;23.99;0;0.1999;lion's mane;amazon;https://www.amazon.com/dp/B09253ZSNB;25.05.2026;single
La Republica;La Republica DECAF Organic Mushroom Coffee (35 Servings) with 7 Superfood Shrooms, Great Tasting Instant Mix Includes Lion's Mane, Reishi, Chaga, Cordyceps, Shiitake, Maitake, and Turkey Tail (Decaffeinated);instant;;35;60.1;24.99;0;0.714;lion's mane;amazon;https://www.amazon.com/dp/B07PFYMKDC;25.05.2026;single
La Republica;La Republica Founders Reserve Instant Mushroom Coffee Organic (35 Servings), Full Fruiting Bodies, 50% More Shrooms, Small Batch;instant;;35;70.9;14.99;0;0.4283;mushroom blend;amazon;https://www.amazon.com/dp/B0C42GTRHJ;25.05.2026;single
La Republica;La Republica DECAF Organic Mushroom Coffee 10-Pack Single Serving Packets (100% Colombian Arabica Instant, Full Fruiting Bodies, Lion's Mane, Reishi, Chaga, Cordyceps, Shiitake, Maitake, and Turkey Tail) Decaffeinated;packet;;0;;17.79;0;;lion's mane;amazon;https://www.amazon.com/dp/B0CGZFSLQB;25.05.2026;single
La Republica;La Republica Ground Mushroom Coffee, Organic Fair Trade Arabica with Superfood Mushrooms (Medium Roast, 60 Servings);ground;;60;340.2;24.99;0;0.4165;mushroom blend;amazon;https://www.amazon.com/dp/B0B75PN7SZ;25.05.2026;single
La Republica;La Republica Ground Mushroom Coffee, Organic Fair Trade Arabica with Superfood Mushrooms (Medium Roast, 60 Servings);ground;;60;340.2;21.24;15;0.354;mushroom blend;amazon;https://www.amazon.com/dp/B0B75PN7SZ;25.05.2026;subscription
La Republica;La Republica Organic Decaf Instant Coffee (35 Servings), Colombian Medium Roast, Toasted Caramel, Fair Trade, Low-Acid;instant;;35;70.9;16.99;0;0.4854;;amazon;https://www.amazon.com/dp/B08F3W91GB;25.05.2026;single
La Republica;La Republica Organic Decaf Instant Coffee (35 Servings), Colombian Medium Roast, Toasted Caramel, Fair Trade, Low-Acid;instant;;35;70.9;14.44;15;0.4126;;amazon;https://www.amazon.com/dp/B08F3W91GB;25.05.2026;subscription
La Republica;LRLA SUPERFOODS La Republica Lion's Mane Extract Mushroom Powder 120 Servings, No Mycelium or Fillers, USDA Organic Lion's Mane Extract, Fair Trade & Vegan, USA Made;instant;;120;60.1;23.99;0;0.1999;lion's mane;amazon;https://www.amazon.com/dp/B07YXFTZGW;25.05.2026;single
La Republica;LRLA SUPERFOODS La Republica Lion's Mane Extract Mushroom Powder 120 Servings, No Mycelium or Fillers, USDA Organic Lion's Mane Extract, Fair Trade & Vegan, USA Made;instant;;120;60.1;21.59;10;0.1799;lion's mane;amazon;https://www.amazon.com/dp/B07YXFTZGW;25.05.2026;subscription
La Republica;La Republica Reishi Mushroom Powder (120 Servings), No Mycelium or Fillers, USDA Organic Reishi Extract, Fair Trade & Vegan, USA Made;instant;;120;60.1;79.95;0;0.6663;reishi;amazon;https://www.amazon.com/dp/B07YXGGMQC;25.05.2026;single
La Republica;La Republica Turkey Tail Mushroom Powder (120 Servings), Immune Support, USDA Organic Turkey Tail Extract, Fair Trade & Vegan, No Mycelium or Fillers, USA Made;instant;;120;60.1;29.95;0;0.2496;mushroom blend;amazon;https://www.amazon.com/dp/B08YP9C3LS;25.05.2026;single
La Republica;La Republica Superfood Super 7 Mushroom Extract Powder 8oz, Includes Lion's Mane, Reishi, Chaga, Cordyceps, Shitake, Maitake and Turkey Tail;instant;;114;226.8;29.97;0;0.2629;lion's mane;amazon;https://www.amazon.com/dp/B09JZVM8WG;25.05.2026;single
