brand,product_name,format,serving_size_g,serving_count,volume_g,price_usd,discount_pct,serving_price,key_ingredient,channel,url,date_collected,purchase_type
Laird Superfood,"Laird Superfood Peruvian Dark Roast Coffee with Functional Mushrooms, Certified Organic Peruvian Ground Coffee Beans, Gluten-Free, Dairy-Free, Non-GMO, Paleo, Keto Friendly, 12 oz. Bag",ground,,90,340.2,20.0,0.0,0.2222,mushroom blend,amazon,https://www.amazon.com/dp/B088PB9B1L,2026-05-25,single
Laird Superfood,"Laird Superfood Peruvian Dark Roast Coffee with Functional Mushrooms, Certified Organic Peruvian Ground Coffee Beans, Gluten-Free, Dairy-Free, Non-GMO, Paleo, Keto Friendly, 12 oz. Bag",ground,,90,340.2,19.0,5.0,0.2111,mushroom blend,amazon,https://www.amazon.com/dp/B088PB9B1L,2026-05-25,subscription
Laird Superfood,"Laird Superfood Non-Dairy Coconut Powder Creamer - Sweet & Creamy + Adaptogens - Superfood Creamer with Functional Mushrooms - Non-GMO, Vegan, 16 oz. Bag, Pack of 1",creamer,,30,453.6,27.0,0.0,0.9,mushroom blend,amazon,https://www.amazon.com/dp/B08QNGKX74,2026-05-25,single
Laird Superfood,"Laird Superfood Non-Dairy Coconut Powder Creamer - Sweet & Creamy + Adaptogens - Superfood Creamer with Functional Mushrooms - Non-GMO, Vegan, 16 oz. Bag, Pack of 1",creamer,,30,453.6,25.65,5.0,0.855,mushroom blend,amazon,https://www.amazon.com/dp/B08QNGKX74,2026-05-25,subscription
Laird Superfood,"Laird Superfood Organic Performance Mushroom Blend with Chaga, Cordyceps, Lion's Mane and Maitake for Energy and Cognition, 3.17 oz. Bag, Pack of 1",instant,,40,99.2,25.0,0.0,0.625,lion's mane,amazon,https://www.amazon.com/dp/B07FK3CQJR,2026-05-25,single
Laird Superfood,"Laird Superfood Organic Performance Mushroom Blend with Chaga, Cordyceps, Lion's Mane and Maitake for Energy and Cognition, 3.17 oz. Bag, Pack of 1",instant,,40,99.2,23.75,5.0,0.5938,lion's mane,amazon,https://www.amazon.com/dp/B07FK3CQJR,2026-05-25,subscription
Laird Superfood,"Laird Superfood Non-Dairy Superfood Creamer - Coconut Powder Coffee Creamer - Sweet & Creamy - Gluten Free, Non-GMO, Vegan - 8 oz. Bag, Pack of 1",creamer,,30,226.8,14.0,0.0,0.4667,,amazon,https://www.amazon.com/dp/B01MYSVO53,2026-05-25,single
Laird Superfood,"Laird Superfood Non-Dairy Superfood Creamer - Coconut Powder Coffee Creamer - Sweet & Creamy - Gluten Free, Non-GMO, Vegan - 8 oz. Bag, Pack of 1",creamer,,30,226.8,13.3,5.0,0.4433,,amazon,https://www.amazon.com/dp/B01MYSVO53,2026-05-25,subscription
Laird Superfood,"Laird Superfood Instant Latte Sweet & Creamy, Non-Dairy, Superfood Creamer, Gluten Free, Non-GMO, Vegan, 16 oz. Bag, Pack of 1",creamer,,38,453.6,29.0,0.0,0.7632,,amazon,https://www.amazon.com/dp/B01HDYROWC,2026-05-25,single
Laird Superfood,"Laird Superfood Instant Latte Sweet & Creamy, Non-Dairy, Superfood Creamer, Gluten Free, Non-GMO, Vegan, 16 oz. Bag, Pack of 1",creamer,,38,453.6,27.55,5.0,0.725,,amazon,https://www.amazon.com/dp/B01HDYROWC,2026-05-25,subscription
Laird Superfood,"Laird Superfood Prebiotic Daily Greens Powder – Essential Vitamins & Minerals - Prebiotic Fiber, Adaptogen and Fruits & Vegetables – Supports Gut Health – Non-GMO, Vegan - 7.4 oz Bag, Pack of 1",instant,,30,209.8,37.99,0.0,1.2663,adaptogen,amazon,https://www.amazon.com/dp/B0FBTBVNC8,2026-05-25,single
Laird Superfood,"Laird Superfood Non-Dairy Reduced Sugar Superfood Coconut Powder Coffee Creamer, Keto, No Sugar Added, Gluten Free, Non-GMO, Vegan, 16 oz. Bag, Pack of 1",creamer,,24,453.6,24.0,0.0,1.0,,amazon,https://www.amazon.com/dp/B06ZYDJ41T,2026-05-25,single
